"country","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2022","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2021","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2020","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2019","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2022","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2021","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2020","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2019"
"Peru",20.492660281878635,686,20.418688679842806,677,22.38219656136376,735,22.2,729,18.162591037000304,608,17.734400212330232,588,20.067846984950638,659,19.81,650
"Saudi Arabia",37.82392759685972,1217,35.49495026876572,1112,0.22587056971011127,7,32.2,1154,34.43624632483201,1108,33.38823559454042,1046,35.235808874777355,1092,29.43,1054
"Madagascar",7.852207653109836,239,9.69987639393623,288,9.670645446507516,280,8.36,230,7.293682422553906,222,9.12731424568305,271,9.0834991158267,263,7.71,212
"Ivory Coast",12.798157591709163,389,12.280826054244814,364,10.582596125248138,306,11.48,300,10.857048856719857,330,9.986605802352926,296,9.026331989182236,261,10.88,285
"Nepal",10.364995928037315,308,12.45122985581001,367,11.634088916200039,337,10.57,305,6.730516836387866,200,8.685326547921969,256,7.836611821891419,227,7.25,209
"Cameroon",13.064184592223734,361,9.734059548666583,262,11.522055962091674,302,10.33,266,11.725196143713267,324,8.508013880323082,229,10.224870853776716,268,9.44,243
"Venezuela",30.659624995569416,865,27.976683735985098,790,30.55115120534663,869,29.32,849,28.391167192429023,801,25.993526407864636,734,28.090183904570722,799,27.11,785
"Niger",6.0840707964601775,154,5.550544647193506,136,7.041184605525011,167,4.72,111,6.005056890012642,152,5.468918990617131,134,6.872533477248963,163,4.64,109
"Australia",102.47700469447732,2685,102.63364719298517,2664,103.05393920089497,2653,102.56,2601,33.6628372962864,882,33.01690527191752,857,33.09534722923578,852,33.04,838
"Syria",20.16721425327884,453,26.908566355969818,582,22.565963875454884,475,28.69,577,11.129809190551237,250,14.65638408048528,317,12.826968939732248,270,16.54,332
"Mali",9.1883879580108,212,8.888452158687905,199,5.526439407197266,120,10.19,209,8.45158326326465,195,8.352465093842401,187,5.111956451657472,111,9.97,205
"Burkina Faso",8.44106801723755,190,7.501636720739071,165,7.216451647446075,155,6.37,133,4.886934115242791,110,4.591910962391795,101,4.888564019237664,105,5.91,124
"Taiwan",26.387590146925078,618,27.718468650114822,653,29.24334946225199,692,30.35,722,23.39870453157758,548,24.832012496657228,585,24.890654383332983,589,26.3,625
"Sri Lanka",31.31158309612437,715,32.73070078060299,743,30.44969816238066,687,29.22,633,30.085395226625796,687,31.012669380275234,704,28.58814456293381,645,27.75,601
"Malawi",11.182038728748049,230,10.824400293306331,217,7.064641469445426,138,5.32,100,10.69586313184596,220,9.926523771280921,199,6.347938711675599,124,4.71,89
"Zambia",12.256300582050226,247,10.967373339590688,215,14.848316316358332,283,10.89,200,11.462370179974098,231,9.539064253504458,187,13.69403024229514,261,9.97,183
"Kazakhstan",31.495512762920146,631,33.78309933345489,667,28.53901786768367,556,26.79,502,29.648707735617382,594,26.996089872161104,533,24.278696855061824,473,24.99,469
"Chad",9.69911082453279,179,9.984126360898122,178,9.405098492281432,162,9.69,156,9.157261057799113,169,9.535401580633039,170,8.940649184020621,154,9.2,148
"Chile",48.17675037078709,942,47.439646798209324,923,44.293929976355926,858,41.04,781,41.988441671354785,821,42.09433448291813,819,40.06071056136619,776,37.03,705
"Romania",32.138906859778366,616,31.58736920854937,608,5.5175970091530235,107,30.82,602,27.808502201723815,533,26.85965440924346,517,26.86605646512827,521,26.64,520
"Senegal",18.809026066364137,332,18.930485630832305,326,71.17670883663308,1195,19.1,306,16.372917268612156,289,16.259312811757805,280,15.247897457889596,256,16.88,270
"Guatemala",55.41268160399823,989,56.48176559499051,994,55.365753890294,961,47.62,815,51.37859356002667,917,52.61782187219438,926,51.90899506259614,901,44.29,758
"Netherlands",46.91584191595362,840,43.709744735090744,775,44.50946038658026,785,46.7,811,37.476821340005806,671,36.264988212468836,643,37.081766997227376,654,39.21,681
"Ecuador",79.27557941864576,1413,79.62674961119751,1408,75.05941491271565,1317,75.63,1312,21.48800206464354,383,21.43362081153683,379,18.75060554767156,329,18.68,324
"Cambodia",24.416191422940756,420,25.391326888295836,431,27.2039699859496,455,27.56,447,7.382991215984467,127,6.362559869920998,108,5.08206032704553,85,4.55,74
"Zimbabwe",26.4482765058404,425,26.27047831261236,415,21.18903322620742,329,24.34,374,16.304584575365144,262,15.952194059706782,252,13.911340963102743,216,16.26,250
"Guinea",18.85436603083578,265,19.91174647168229,273,17.87423716644729,239,14.82,191,17.858286315999177,251,18.52594726669341,254,16.37848510230944,219,12.49,161
"Benin",9.157309495257822,126,8.871725289635737,119,9.946290033817386,130,11.63,143,8.357861840909917,115,8.126202156052901,109,9.334210647120932,122,11.09,136
"Rwanda",14.650941322980001,200,12.204892439705585,163,684.7648058289581,8947,14.14,181,12.9660830708373,177,10.707359625017784,143,9.796568139723552,128,11.59,149
"Burundi",5.705234552702104,76,5.090432301106784,66,3.883649044939367,49,3.8,45,5.404959049928309,72,4.859049014692839,63,3.645874613616549,46,3.64,43
"Bolivia",83.29745305203193,1006,81.25722519141522,970,82.68239635080356,977,85.16,1003,19.623753850230187,237,18.764555095749493,224,19.972410991596355,236,20.11,237
"Tunisia",35.480597064186874,430,34.69282738243447,418,35.493272980850335,425,32.8,395,33.830336735620044,410,33.03288348853809,398,33.82300131116326,405,31.39,378
"South Sudan",8.801219467934526,97,11.780080619926743,128,9.90793101836706,106,10.08,105,8.710485246615614,96,7.270518507611037,79,7.477683787446838,80,8.6,90
"Haiti",22.42776174414966,258,25.671232394985317,292,25.79199203116384,290,25.48,284,19.906811780659968,229,22.770031473634237,259,22.679165406713032,255,21.9,244
"Belgium",50.421756085828655,587,51.33612196218066,594,48.43978821673989,559,57.72,664,47.41534814203989,552,45.80495730632281,530,45.58019427907904,526,46.21,532
"Jordan",48.59500901717261,547,46.89872045109521,519,48.411442035121304,526,46.04,493,34.64726419871538,390,32.440540735921346,359,34.23774988035195,372,33.24,356
"Dominican Republic",46.30165528417641,520,45.12968040634692,502,42.785897913392624,471,44.55,485,39.80161521543626,447,39.10639636804962,435,38.334711081638396,422,39.1,425
"United Arab Emirates",29.681412991476357,304,14.301694239992644,140,13.864605250346086,131,38.6,356,18.941428027455306,194,11.849975227422476,116,11.430361580437994,108,35.97,331
"Cuba",51.17633230257328,566,49.45064825304347,550,51.71611610178591,578,53.08,601,47.19796018011176,522,47.74235313157469,531,50.642425110053324,566,51.55,583
"Honduras",57.72226416536856,604,50.82653864469042,523,50.29843076801455,509,56.35,561,35.16853180936362,368,33.139291927035245,341,33.3017115301,337,38.76,386
"Czech Republic",42.255368586740616,451,39.31362587482313,414,36.302973431531456,383,42.32,446,29.606865794700745,316,31.336948161090906,330,31.658467692249364,334,30.39,320
"Sweden",46.81853289216481,491,39.36214130048675,410,37.28135835498421,386,45.72,469,31.085217358137935,326,32.545770489914645,339,32.83850217796536,340,32.96,338
"Tajikistan",18.758225137985896,191,20.76872370674562,207,17.84741689411866,174,19.85,185,17.285066095735694,176,18.66175173649607,186,16.30884647221188,159,17.84,167
"Papua New Guinea",11.270973812137369,115,10.786085949125628,108,12.836512747370298,126,11.94,114,10.094872196957818,103,9.687503120973943,97,10.900848126735095,107,10.88,104
"Portugal",28.702805963271928,299,22.71196227504571,236,33.460296032013886,347,34.92,359,22.751053556172064,237,18.18881724569339,189,22.274721565980425,231,21.94,226
"Azerbaijan",59.34746923353375,611,60.189165950128974,616,54.90242297455238,559,52.86,541,24.962847124415998,257,25.209098725865708,258,21.41096280581828,218,21.7,222
"Greece",40.240096038415366,419,38.65930659004121,409,36.357178907228445,389,33.47,354,31.116446578631454,324,31.192105561646944,330,29.908219152475837,320,26.64,282
"Hungary",50.907085791347036,493,52.53480430785395,510,55.59282257684015,542,51.67,505,30.97794267221929,300,27.091477515618806,263,28.71953933858901,280,25.91,253
"Togo",,,22.75189843192114,202,19.37778844068782,168,14.5,120,,,11.488582376514636,102,11.649741860175416,101,9.81,81
"Israel",54.26692957932144,494,48.41819003189115,433,50.33873537279072,443,49.84,429,32.29651274558807,294,32.651527688942764,292,32.27133373786132,284,33.37,287
"Austria",40.70744913223633,369,41.15061123712788,369,42.818391732239334,382,46.39,412,32.43357735739154,294,31.89451169056525,286,33.178649090949854,296,36.28,322
"Belarus",61.265158221086544,562,57.39696650006053,531,48.23044528143694,451,44.21,428,31.831719218073438,292,31.995295826775735,296,27.804691293067865,260,24.93,241
"Switzerland",41.400426287905844,364,43.413245863682405,378,43.05266544606959,372,46.21,396,30.481632541644963,268,37.67075302457098,328,37.61321577949628,325,39.41,338
"Sierra Leone",6.76589169015599,56,5.929879178711734,48,0.631906740675584,5,8.4,68,6.040974723353563,50,4.818026832703284,39,7.330118191836776,58,6.93,56
"Laos",45.508604962819206,344,35.15273325918164,262,27.90433034371329,205,24.74,178,12.435490891002923,94,9.928634584654356,74,9.119951868433125,67,8.94,64
